"","exper_init_var","exper_ssid_var","demand","feedb_awar_var","feedb_blef_var","video_awar_var","heard_awar_var","block.num","trial","anger","happy","hap","sat","enj","agg","irr","ann","dif"
"1","GEO",101,"neg",2,0,0,0,1,"angr",0.666666666666667,0,0,0,0,0,1,1,3
"2","GEO",101,"neg",2,0,0,0,2,"angr",0,0,0,0,0,0,0,0,3
"3","GEO",101,"neg",2,0,0,0,1,"happ",0.333333333333333,0,0,0,0,0,0,1,1
"4","GEO",101,"neg",2,0,0,0,2,"happ",0,0,0,0,0,0,0,0,1
"5","GEO",101,"neg",2,0,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"6","GEO",101,"neg",2,0,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"7","CBV",102,"neg",4,3,0,0,1,"angr",0.333333333333333,0,0,0,0,0,0,1,1
"8","CBV",102,"neg",4,3,0,0,2,"angr",1,0,0,0,0,0,2,1,1
"9","CBV",102,"neg",4,3,0,0,1,"happ",0,2.66666666666667,3,2,3,0,0,0,1
"10","CBV",102,"neg",4,3,0,0,2,"happ",0,2,3,1,2,0,0,0,1
"11","CBV",102,"neg",4,3,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"12","CBV",102,"neg",4,3,0,0,2,"neut",0.333333333333333,0,0,0,0,0,1,0,1
"13","GEO",103,"pos",2,3,4,0,1,"angr",1.66666666666667,0,0,0,0,2,1,2,4
"14","GEO",103,"pos",2,3,4,0,2,"angr",1,0,0,0,0,1,1,1,4
"15","GEO",103,"pos",2,3,4,0,1,"happ",0,3,3,3,3,0,0,0,1
"16","GEO",103,"pos",2,3,4,0,2,"happ",0,3,3,3,3,0,0,0,1
"17","GEO",103,"pos",2,3,4,0,1,"neut",0,0,0,0,0,0,0,0,1
"18","GEO",103,"pos",2,3,4,0,2,"neut",0,0,0,0,0,0,0,0,1
"19","BAF",104,"pos",4,2,3,0,1,"angr",0,0,0,0,0,0,0,0,7
"20","BAF",104,"pos",4,2,3,0,2,"angr",0.666666666666667,0,0,0,0,0,2,0,1
"21","BAF",104,"pos",4,2,3,0,1,"happ",0,1.33333333333333,1,1,2,0,0,0,5
"22","BAF",104,"pos",4,2,3,0,2,"happ",0,0,0,0,0,0,0,0,6
"23","BAF",104,"pos",4,2,3,0,1,"neut",0.666666666666667,0,0,0,0,0,1,1,1
"24","BAF",104,"pos",4,2,3,0,2,"neut",0.666666666666667,0,0,0,0,0,1,1,1
"25","TKA",105,"neg",3,0,2,0,1,"angr",0.666666666666667,0,0,0,0,0,1,1,1
"26","TKA",105,"neg",3,0,2,0,2,"angr",0.666666666666667,0,0,0,0,0,1,1,1
"27","TKA",105,"neg",3,0,2,0,1,"happ",1,0,0,0,0,0,2,1,1
"28","TKA",105,"neg",3,0,2,0,2,"happ",0.666666666666667,0,0,0,0,0,1,1,1
"29","TKA",105,"neg",3,0,2,0,1,"neut",0,0,0,0,0,0,0,0,1
"30","TKA",105,"neg",3,0,2,0,2,"neut",0,0,0,0,0,0,0,0,1
"31","TKA",106,"neg",0,1,0,0,1,"angr",0,0,0,0,0,0,0,0,1
"32","TKA",106,"neg",0,1,0,0,2,"angr",0,0,0,0,0,0,0,0,1
"33","TKA",106,"neg",0,1,0,0,1,"happ",0,1,1,1,1,0,0,0,1
"34","TKA",106,"neg",0,1,0,0,2,"happ",0,0,0,0,0,0,0,0,1
"35","TKA",106,"neg",0,1,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"36","TKA",106,"neg",0,1,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"37","CBV",107,"neu",1,NA,1,0,1,"angr",0.666666666666667,0,0,0,0,1,1,0,1
"38","CBV",107,"neu",1,NA,1,0,2,"angr",0.666666666666667,0,0,0,0,1,0,1,1
"39","CBV",107,"neu",1,NA,1,0,1,"happ",0,0.666666666666667,1,0,1,0,0,0,2
"40","CBV",107,"neu",1,NA,1,0,2,"happ",0.666666666666667,0,0,0,0,1,0,1,1
"41","CBV",107,"neu",1,NA,1,0,1,"neut",0,0.666666666666667,2,0,0,0,0,0,1
"42","CBV",107,"neu",1,NA,1,0,2,"neut",0,0,0,0,0,0,0,0,1
"43","TSS",108,"neg",4,0,1,0,1,"angr",0,0,0,0,0,0,0,0,1
"44","TSS",108,"neg",4,0,1,0,2,"angr",0,1,2,0,1,0,0,0,1
"45","TSS",108,"neg",4,0,1,0,1,"happ",0,0.666666666666667,1,0,1,0,0,0,1
"46","TSS",108,"neg",4,0,1,0,2,"happ",0,0,0,0,0,0,0,0,1
