StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,intro_text_tme_First Click,intro_text_tme_Last Click,intro_text_tme_Page Submit,intro_text_tme_Click Count,intro_hypo_tme_First Click,intro_hypo_tme_Last Click,intro_hypo_tme_Page Submit,intro_hypo_tme_Click Count,happ1_desc_tme_First Click,happ1_desc_tme_Last Click,happ1_desc_tme_Page Submit,happ1_desc_tme_Click Count,happ1_perf_tme_First Click,happ1_perf_tme_Last Click,happ1_perf_tme_Page Submit,happ1_perf_tme_Click Count,happ1_emot_hap,happ1_emot_sat,happ1_emot_enj,happ1_emot_ala,happ1_emot_sca,happ1_emot_fea,happ1_emot_irr,happ1_emot_agg,happ1_emot_ann,happ1_emot_DO,happ1_supp_dif,happ1_supp_con,angr1_desc_tme_First Click,angr1_desc_tme_Last Click,angr1_desc_tme_Page Submit,angr1_desc_tme_Click Count,angr1_perf_tme_First Click,angr1_perf_tme_Last Click,angr1_perf_tme_Page Submit,angr1_perf_tme_Click Count,angr1_emot_hap,angr1_emot_sat,angr1_emot_enj,angr1_emot_ala,angr1_emot_sca,angr1_emot_fea,angr1_emot_irr,angr1_emot_agg,angr1_emot_ann,angr1_emot_DO,angr1_supp_dif,angr1_supp_con,neut1_desc_tme_First Click,neut1_desc_tme_Last Click,neut1_desc_tme_Page Submit,neut1_desc_tme_Click Count,neut1_perf_tme_First Click,neut1_perf_tme_Last Click,neut1_perf_tme_Page Submit,neut1_perf_tme_Click Count,neut1_emot_hap,neut1_emot_sat,neut1_emot_enj,neut1_emot_ala,neut1_emot_sca,neut1_emot_fea,neut1_emot_irr,neut1_emot_agg,neut1_emot_ann,neut1_emot_DO,neut1_supp_dif,neut1_supp_con,happ2_desc_tme_First Click,happ2_desc_tme_Last Click,happ2_desc_tme_Page Submit,happ2_desc_tme_Click Count,happ2_perf_tme_First Click,happ2_perf_tme_Last Click,happ2_perf_tme_Page Submit,happ2_perf_tme_Click Count,happ2_emot_hap,happ2_emot_sat,happ2_emot_enj,happ2_emot_ala,happ2_emot_sca,happ2_emot_fea,happ2_emot_irr,happ2_emot_agg,happ2_emot_ann,happ2_emot_DO,happ2_supp_dif,happ2_supp_con,angr2_desc_tme_First Click,angr2_desc_tme_Last Click,angr2_desc_tme_Page Submit,angr2_desc_tme_Click Count,angr2_perf_tme_First Click,angr2_perf_tme_Last Click,angr2_perf_tme_Page Submit,angr2_perf_tme_Click Count,angr2_emot_hap,angr2_emot_sat,angr2_emot_enj,angr2_emot_ala,angr2_emot_sca,angr2_emot_fea,angr2_emot_irr,angr2_emot_agg,angr2_emot_ann,angr2_emot_DO,angr2_supp_dif,angr2_supp_con,neut2_desc_tme_First Click,neut2_desc_tme_Last Click,neut2_desc_tme_Page Submit,neut2_desc_tme_Click Count,neut2_perf_tme_First Click,neut2_perf_tme_Last Click,neut2_perf_tme_Page Submit,neut2_perf_tme_Click Count,neut2_emot_hap,neut2_emot_sat,neut2_emot_enj,neut2_emot_ala,neut2_emot_sca,neut2_emot_fea,neut2_emot_irr,neut2_emot_agg,neut2_emot_ann,neut2_emot_DO,neut2_supp_dif,neut2_supp_con,indiv_inst_tme_First Click,indiv_inst_tme_Last Click,indiv_inst_tme_Page Submit,indiv_inst_tme_Click Count,indiv_gend_var,indiv_gend_var_6_TEXT,indiv_agee_var,indiv_maia_001,indiv_maia_002,indiv_maia_003,indiv_maia_004,indiv_maia_005,indiv_maia_006,indiv_maia_007,indiv_maia_008,indiv_maia_009,indiv_maia_010,indiv_maia_011,indiv_maia_012,indiv_maia_013,indiv_maia_014,indiv_maia_015,indiv_maia_016,indiv_maia_017,indiv_maia_018,indiv_maia_019,indiv_maia_020,indiv_maia_021,indiv_maia_022,indiv_maia_023,indiv_maia_024,indiv_maia_025,indiv_maia_026,indiv_maia_027,indiv_maia_028,indiv_maia_029,indiv_maia_030,indiv_maia_031,indiv_maia_032,debri_pass_var,exper_init_var,exper_ssid_var,exper_date_var,feedb_awar_var,feedb_blef_var,video_awar_var,heard_awar_var,exper_csnt_vd1,exper_csnt_vd2,exper_csnt_vd3,exper_csnt_vd4,exper_csnt_vd5,exper_csnt_aud,exper_note_var,demand,FL_20_DO,FL_5_DO,FL_6_DO
10/4/2019 13:27,10/4/2019 15:15,0,84,6497,0,10/4/2019 15:16,R_21hxv3PdjVuzkMc,,,,,,,anonymous,EN,0,0,40.088,0,0,0,25.437,0,0,0,62.933,0,1.197,1.726,15.124,2,,6,4,6,,6,3,,5,happ1_emot_ann|happ1_emot_fea|happ1_emot_hap|happ1_emot_enj|happ1_emot_agg|happ1_emot_sat|happ1_emot_irr|happ1_emot_ala|happ1_emot_sca,,,12.863,19.975,24.401,4,6.498,6.498,40.432,1,1,1,2,1,1,2,1,2,4,angr1_emot_sca|angr1_emot_sat|angr1_emot_ala|angr1_emot_hap|angr1_emot_agg|angr1_emot_ann|angr1_emot_irr|angr1_emot_fea|angr1_emot_enj,5,5,0.805,1.279,23.021,2,13.626,13.626,21.644,1,2,3,2,1,2,1,2,1,3,neut1_emot_agg|neut1_emot_hap|neut1_emot_ann|neut1_emot_sca|neut1_emot_ala|neut1_emot_irr|neut1_emot_sat|neut1_emot_enj|neut1_emot_fea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pos,FL_21,Anger1|Neutral1|Happy1,BL_cYEaEM3peLmDAsR|BL_6SvXRZ7UnGtMjUF|BL_bPFrywH7eGQu7nn
10/4/2019 18:04,10/4/2019 18:08,0,45,201,0,10/11/2019 18:08,R_1QKpPt7XTZWqoOx,,,,,,,anonymous,EN,0,0,7.967,0,,,,,0,0,8.2,0,0,0,5.128,0,,,,,,,,,,happ1_emot_ala|happ1_emot_sat|happ1_emot_ann|happ1_emot_sca|happ1_emot_enj|happ1_emot_fea|happ1_emot_irr|happ1_emot_hap|happ1_emot_agg,,,0,0,6.977,0,0,0,5.12,0,,,,,,,,,,angr1_emot_sca|angr1_emot_agg|angr1_emot_hap|angr1_emot_sat|angr1_emot_ala|angr1_emot_irr|angr1_emot_ann|angr1_emot_enj|angr1_emot_fea,,,0,0,5.909,0,0,0,5.021,0,,,,,,,,,,neut1_emot_hap|neut1_emot_ala|neut1_emot_ann|neut1_emot_sca|neut1_emot_enj|neut1_emot_irr|neut1_emot_sat|neut1_emot_agg|neut1_emot_fea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neu,FL_23,Anger1|Neutral1|Happy1,Neutral2|Anger2|Happy2
10/4/2019 15:16,10/7/2019 14:19,0,83,255779,0,10/14/2019 14:19,R_phfvMloANVBQS2Z,,,,,,,anonymous,EN,0,0,58.824,0,0,0,36.75,0,0,0,8.548,0,0,0,5.009,0,2,2,2,1,1,1,1,1,1,happ1_emot_agg|happ1_emot_sca|happ1_emot_irr|happ1_emot_hap|happ1_emot_ann|happ1_emot_enj|happ1_emot_fea|happ1_emot_sat|happ1_emot_ala,2,2,0,0,6.461,0,0,0,5.111,0,1,1,1,2,2,2,1,1,1,angr1_emot_ann|angr1_emot_irr|angr1_emot_agg|angr1_emot_enj|angr1_emot_sat|angr1_emot_sca|angr1_emot_ala|angr1_emot_fea|angr1_emot_hap,3,3,0,0,24.947,0,0,0,5.11,0,1,1,1,1,1,1,1,1,1,neut1_emot_sat|neut1_emot_enj|neut1_emot_sca|neut1_emot_irr|neut1_emot_agg|neut1_emot_hap|neut1_emot_ann|neut1_emot_fea|neut1_emot_ala,1,1,0,0,26.938,0,0,0,5.008,0,,,,,,,,,,happ2_emot_ann|happ2_emot_ala|happ2_emot_sat|happ2_emot_hap|happ2_emot_enj|happ2_emot_sca|happ2_emot_agg|happ2_emot_irr|happ2_emot_fea,,,0,0,20.981,0,0,0,5.016,0,,,,,,,,,,angr2_emot_irr|angr2_emot_agg|angr2_emot_ann|angr2_emot_ala|angr2_emot_enj|angr2_emot_fea|angr2_emot_sca|angr2_emot_sat|angr2_emot_hap,,,0.977,1.593,6.527,2,0,0,5.128,0,1,,1,,,,,,,neut2_emot_hap|neut2_emot_enj|neut2_emot_ala|neut2_emot_fea|neut2_emot_sca|neut2_emot_agg|neut2_emot_sat|neut2_emot_irr|neut2_emot_ann,,,0,0,4.805,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,password,,,,,,,,,,,,,,,pos,FL_21,Neutral1|Happy1|Anger1,Neutral2|Happy2|Anger2
10/28/2019 15:23,10/28/2019 16:55,0,100,5516,1,10/28/2019 16:55,R_Rle0COLBpZaYJjP,,,,,35.9539032,-83.93569946,anonymous,EN,4.18,4.596,11.923,2,0,0,14.529,0,1.925,5.204,5.891,4,0,0,1.528,0,,,,,,,,,,happ1_emot_irr|happ1_emot_sca|happ1_emot_sat|happ1_emot_hap|happ1_emot_enj|happ1_emot_ala|happ1_emot_ann|happ1_emot_agg|happ1_emot_fea,,,0,0,10.773,0,0,0,5.007,0,,,,,,,,,,angr1_emot_enj|angr1_emot_ann|angr1_emot_fea|angr1_emot_ala|angr1_emot_agg|angr1_emot_sca|angr1_emot_sat|angr1_emot_irr|angr1_emot_hap,,,0,0,5.771,0,0,0,5.109,0,,,,,,,,,,neut1_emot_agg|neut1_emot_sca|neut1_emot_fea|neut1_emot_enj|neut1_emot_irr|neut1_emot_ala|neut1_emot_ann|neut1_emot_sat|neut1_emot_hap,,,0,0,5.635,0,0,0,0.573,0,,,,,,,,,,happ2_emot_hap|happ2_emot_irr|happ2_emot_fea|happ2_emot_sca|happ2_emot_agg|happ2_emot_ala|happ2_emot_sat|happ2_emot_ann|happ2_emot_enj,,,0,0,10.51,0,0,0,0.402,0,,,,,,,,,,angr2_emot_fea|angr2_emot_ann|angr2_emot_ala|angr2_emot_sat|angr2_emot_agg|angr2_emot_irr|angr2_emot_hap|angr2_emot_enj|angr2_emot_sca,,,0,0,5.541,0,0,0,0.49,0,,,,,,,,,,neut2_emot_hap|neut2_emot_irr|neut2_emot_sca|neut2_emot_ann|neut2_emot_agg|neut2_emot_ala|neut2_emot_sat|neut2_emot_fea|neut2_emot_enj,,,0,0,2.645,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,password,NAC,999,07/07/1000,1,4,1,0,0,0,0,0,0,1,,neg,FL_22,Anger1|Neutral1|Happy1,Anger2|Happy2|Neutral2
10/28/2019 16:55,10/28/2019 17:41,0,100,2744,1,10/28/2019 17:41,R_12Kfl9GG3PhtHhq,,,,,35.9539032,-83.93569946,anonymous,EN,0,0,32.038,0,7.766,7.766,12.846,1,0,0,13.406,0,0,0,5.006,0,1,1,1,1,1,1,1,1,2,happ1_emot_hap|happ1_emot_ann|happ1_emot_sat|happ1_emot_agg|happ1_emot_sca|happ1_emot_enj|happ1_emot_ala|happ1_emot_fea|happ1_emot_irr,1,3,0,0,9.349,0,0,0,5.006,0,1,1,1,1,1,1,2,1,2,angr1_emot_fea|angr1_emot_ann|angr1_emot_sat|angr1_emot_ala|angr1_emot_sca|angr1_emot_irr|angr1_emot_enj|angr1_emot_agg|angr1_emot_hap,3,4,0,0,19.582,0,0,0,5.112,0,1,1,1,1,1,1,1,1,1,neut1_emot_fea|neut1_emot_ala|neut1_emot_ann|neut1_emot_agg|neut1_emot_enj|neut1_emot_hap|neut1_emot_irr|neut1_emot_sca|neut1_emot_sat,1,3,0,0,6.373,0,0,0,5.006,0,1,1,1,1,1,1,1,1,1,happ2_emot_sat|happ2_emot_ala|happ2_emot_sca|happ2_emot_ann|happ2_emot_hap|happ2_emot_agg|happ2_emot_fea|happ2_emot_enj|happ2_emot_irr,1,3,0,0,12.094,0,0,0,5.007,0,1,1,1,1,1,1,1,1,1,angr2_emot_ala|angr2_emot_hap|angr2_emot_sat|angr2_emot_agg|angr2_emot_sca|angr2_emot_enj|angr2_emot_fea|angr2_emot_irr|angr2_emot_ann,3,4,0,0,6.145,0,0,0,5.006,0,1,1,1,1,1,1,1,1,1,neut2_emot_enj|neut2_emot_agg|neut2_emot_ann|neut2_emot_sat|neut2_emot_fea|neut2_emot_sca|neut2_emot_hap|neut2_emot_irr|neut2_emot_ala,1,1,0,0,3.881,0,1,,18,4,5,4,4,4,4,4,4,4,3,2,2,3,2,3,4,4,2,5,2,3,4,2,2,3,3,3,2,2,2,2,4,password,GEO,101,10/28/2019,2,0,0,0,1,1,1,1,1,1,When she scowled she furrowed her brows and scrunched up her nose. When she smiled she showed no teeth. She didn't think there was an influence on emotion. She didn't feel any emotions. She remembered what our hypothesis was and agreed that there was no correlation between facial expression and emotion. ,neg,FL_22,Neutral1|Anger1|Happy1,Anger2|Neutral2|Happy2
10/28/2019 17:50,10/28/2019 19:32,0,100,6141,1,10/28/2019 19:32,R_2OVVGgDBo290JkW,,,,,35.9539032,-83.93569946,anonymous,EN,0,0,10.45,0,0,0,12.157,0,0,0,17.283,0,0,0,5.109,0,4,3,4,1,1,1,1,1,1,happ1_emot_ann|happ1_emot_sat|happ1_emot_agg|happ1_emot_fea|happ1_emot_hap|happ1_emot_enj|happ1_emot_irr|happ1_emot_ala|happ1_emot_sca,1,6,0,0,6.365,0,0,0,5.006,0,1,1,1,1,1,1,1,1,2,angr1_emot_agg|angr1_emot_irr|angr1_emot_sca|angr1_emot_sat|angr1_emot_enj|angr1_emot_ala|angr1_emot_ann|angr1_emot_fea|angr1_emot_hap,1,6,0,0,6.396,0,0,0,5.006,0,1,1,1,1,1,1,1,1,1,neut1_emot_irr|neut1_emot_hap|neut1_emot_fea|neut1_emot_ann|neut1_emot_enj|neut1_emot_sca|neut1_emot_ala|neut1_emot_sat|neut1_emot_agg,1,6,0,0,8.402,0,0,0,5.107,0,4,2,3,1,1,1,1,1,1,happ2_emot_ala|happ2_emot_irr|happ2_emot_ann|happ2_emot_agg|happ2_emot_hap|happ2_emot_enj|happ2_emot_sca|happ2_emot_fea|happ2_emot_sat,1,7,0,0,7.44,0,0,0,5.007,0,1,1,1,1,1,1,3,1,2,angr2_emot_sca|angr2_emot_enj|angr2_emot_irr|angr2_emot_agg|angr2_emot_fea|angr2_emot_ala|angr2_emot_ann|angr2_emot_hap|angr2_emot_sat,1,6,0,0,6.011,0,0,0,5.007,0,1,1,1,1,1,1,2,1,1,neut2_emot_sca|neut2_emot_ala|neut2_emot_agg|neut2_emot_irr|neut2_emot_hap|neut2_emot_fea|neut2_emot_enj|neut2_emot_sat|neut2_emot_ann,1,7,0,0,3.743,0,1,,18,4,5,5,4,3,4,4,4,4,2,4,5,2,4,5,5,5,5,5,4,3,5,3,4,3,5,3,4,5,5,5,5,password,CBV,102,10/28/2019,4,3,0,0,1,1,1,1,1,1,Participant remembered that she was told that we didn't expect a reaction. She thought that smiling did make her happier. She was unaware of video recording.,neg,FL_22,Happy1|Neutral1|Anger1,Anger2|Happy2|Neutral2
10/29/2019 9:35,10/29/2019 12:42,0,83,11222,0,10/29/2019 12:55,R_24LW0qTVboPb7Yb,,,,,,,anonymous,EN,10.123,11.171,13.594,2,,,,,0,0,8.475,0,0,0,5.006,0,,,,,,,,,,happ1_emot_ala|happ1_emot_sca|happ1_emot_sat|happ1_emot_irr|happ1_emot_hap|happ1_emot_enj|happ1_emot_fea|happ1_emot_agg|happ1_emot_ann,,,0,0,6.537,0,0,0,5.007,0,,,,,,,,,,angr1_emot_agg|angr1_emot_sat|angr1_emot_irr|angr1_emot_hap|angr1_emot_ala|angr1_emot_sca|angr1_emot_ann|angr1_emot_fea|angr1_emot_enj,,,0,0,8.939,0,0,0,5.008,0,,,,,,,,,,neut1_emot_sca|neut1_emot_ann|neut1_emot_ala|neut1_emot_enj|neut1_emot_hap|neut1_emot_agg|neut1_emot_fea|neut1_emot_irr|neut1_emot_sat,,,0,0,11.524,0,0,0,5.107,0,,,,,,,,,,happ2_emot_hap|happ2_emot_irr|happ2_emot_fea|happ2_emot_sat|happ2_emot_agg|happ2_emot_ann|happ2_emot_enj|happ2_emot_sca|happ2_emot_ala,,,0,0,17.519,0,0,0,5.006,0,,,,,,,,,,angr2_emot_sat|angr2_emot_ala|angr2_emot_enj|angr2_emot_hap|angr2_emot_irr|angr2_emot_ann|angr2_emot_sca|angr2_emot_agg|angr2_emot_fea,,,0,0,16.601,0,0,0,5.005,0,,,,,,,,,,neut2_emot_agg|neut2_emot_sca|neut2_emot_irr|neut2_emot_ala|neut2_emot_ann|neut2_emot_enj|neut2_emot_fea|neut2_emot_hap|neut2_emot_sat,,,0,0,22.623,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,password,,,,,,,,,,,,,,,neu,FL_23,Anger1|Neutral1|Happy1,Happy2|Anger2|Neutral2
10/29/2019 12:55,10/29/2019 13:29,0,100,2049,1,10/29/2019 13:29,R_tW2vneoapwYkifn,,,,,35.9539032,-83.93569946,anonymous,EN,0,0,10.349,0,11.677,11.677,12.078,1,0,0,13.78,0,0,0,5.005,0,4,4,4,1,1,1,1,1,1,happ1_emot_ann|happ1_emot_sca|happ1_emot_ala|happ1_emot_enj|happ1_emot_irr|happ1_emot_sat|happ1_emot_agg|happ1_emot_fea|happ1_emot_hap,1,2,0,0,6.562,0,0,0,5.006,0,1,1,1,1,1,1,2,3,3,angr1_emot_ala|angr1_emot_ann|angr1_emot_agg|angr1_emot_enj|angr1_emot_hap|angr1_emot_fea|angr1_emot_sca|angr1_emot_irr|angr1_emot_sat,4,3,0,0,13.885,0,0,0,5.008,0,1,1,1,1,1,1,1,1,1,neut1_emot_fea|neut1_emot_enj|neut1_emot_sca|neut1_emot_agg|neut1_emot_sat|neut1_emot_ann|neut1_emot_ala|neut1_emot_irr|neut1_emot_hap,1,3,0,0,6.243,0,0,0,5.107,0,4,4,4,1,1,1,1,1,1,happ2_emot_sca|happ2_emot_fea|happ2_emot_irr|happ2_emot_agg|happ2_emot_ann|happ2_emot_hap|happ2_emot_enj|happ2_emot_sat|happ2_emot_ala,1,2,5.936,5.936,6.379,1,0,0,5.007,0,1,1,1,1,1,1,2,2,2,angr2_emot_agg|angr2_emot_irr|angr2_emot_sat|angr2_emot_fea|angr2_emot_hap|angr2_emot_sca|angr2_emot_enj|angr2_emot_ala|angr2_emot_ann,4,4,0,0,6.246,0,0,0,5.006,0,1,1,1,1,1,1,1,1,1,neut2_emot_sca|neut2_emot_agg|neut2_emot_irr|neut2_emot_enj|neut2_emot_sat|neut2_emot_hap|neut2_emot_ala|neut2_emot_fea|neut2_emot_ann,1,2,0,0,3.954,0,1,,20,3,5,5,5,1,2,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4,4,4,password,GEO,103,10/29/2019,2,3,4,0,1,1,1,0,1,1,She did the happy movements but didn't seem to do the scowl. She was wearing a hat. She thought it was easier to be happy and the GSR would show that. She thought the study was about mood and its effects on people. She thought she was in the control group because the things I read to her made sense. ,pos,FL_21,Neutral1|Happy1|Anger1,Neutral2|Happy2|Anger2
10/29/2019 14:18,10/29/2019 15:40,0,100,4932,1,10/29/2019 15:40,R_2xVpw2E1IK9ez9S,,,,,35.9539032,-83.93569946,anonymous,EN,0,0,9.349,0,5.794,5.794,12.233,1,0,0,6.291,0,0,0,5.008,0,2,2,3,1,1,1,1,1,1,happ1_emot_hap|happ1_emot_fea|happ1_emot_sca|happ1_emot_sat|happ1_emot_enj|happ1_emot_agg|happ1_emot_ala|happ1_emot_irr|happ1_emot_ann,5,4,0,0,12.382,0,0,0,5.11,0,1,1,1,1,1,1,1,1,1,angr1_emot_agg|angr1_emot_sat|angr1_emot_irr|angr1_emot_fea|angr1_emot_enj|angr1_emot_hap|angr1_emot_ala|angr1_emot_sca|angr1_emot_ann,7,3,0,0,6.764,0,0,0,5.108,0,1,1,1,1,1,1,2,1,2,neut1_emot_sca|neut1_emot_hap|neut1_emot_irr|neut1_emot_sat|neut1_emot_ala|neut1_emot_agg|neut1_emot_enj|neut1_emot_fea|neut1_emot_ann,1,4,0,0,6.714,0,0,0,5.005,0,1,1,1,2,1,1,1,1,1,happ2_emot_enj|happ2_emot_sca|happ2_emot_agg|happ2_emot_ann|happ2_emot_sat|happ2_emot_irr|happ2_emot_hap|happ2_emot_ala|happ2_emot_fea,6,2,0,0,6.485,0,0,0,5.006,0,1,1,1,1,1,1,3,1,1,angr2_emot_ala|angr2_emot_sat|angr2_emot_ann|angr2_emot_hap|angr2_emot_sca|angr2_emot_enj|angr2_emot_irr|angr2_emot_agg|angr2_emot_fea,1,6,0,0,7.222,0,0,0,5.006,0,1,1,1,1,1,1,2,1,2,neut2_emot_sca|neut2_emot_enj|neut2_emot_irr|neut2_emot_agg|neut2_emot_sat|neut2_emot_ala|neut2_emot_fea|neut2_emot_hap|neut2_emot_ann,1,4,0,0,3.303,0,2,,19,3,5,2,1,2,2,5,1,3,4,2,1,1,1,2,5,5,5,3,4,4,5,1,1,1,1,1,5,2,5,5,5,password,BAF,104,10/29/2019,4,2,3,0,1,1,1,1,1,0,guessed true hypothesis right away,pos,FL_21,Anger1|Neutral1|Happy1,Neutral2|Happy2|Anger2
10/29/2019 15:41,10/29/2019 16:28,0,100,2874,1,10/29/2019 16:28,R_8B82chzndMQ5OIp,,,,,35.9539032,-83.93569946,anonymous,EN,0,0,30.146,0,0,0,34.486,0,0,0,19.713,0,0,0,5.009,0,1,1,1,1,1,1,3,1,2,happ1_emot_ala|happ1_emot_hap|happ1_emot_irr|happ1_emot_agg|happ1_emot_sca|happ1_emot_enj|happ1_emot_fea|happ1_emot_sat|happ1_emot_ann,1,5,0,0,27.535,0,0,0,5.109,0,1,1,1,1,1,1,2,1,2,angr1_emot_sat|angr1_emot_irr|angr1_emot_enj|angr1_emot_fea|angr1_emot_ala|angr1_emot_sca|angr1_emot_hap|angr1_emot_ann|angr1_emot_agg,1,5,0,0,12.821,0,0,0,5.109,0,1,1,1,1,1,1,1,1,1,neut1_emot_agg|neut1_emot_hap|neut1_emot_irr|neut1_emot_ann|neut1_emot_ala|neut1_emot_sca|neut1_emot_enj|neut1_emot_sat|neut1_emot_fea,1,6,0,0,8.038,0,0,0,5.01,0,1,1,1,1,1,1,2,1,2,happ2_emot_ala|happ2_emot_fea|happ2_emot_hap|happ2_emot_irr|happ2_emot_sat|happ2_emot_sca|happ2_emot_agg|happ2_emot_enj|happ2_emot_ann,1,5,0,0,8.308,0,0,0,5.006,0,1,1,1,1,1,1,2,1,2,angr2_emot_enj|angr2_emot_sca|angr2_emot_ann|angr2_emot_agg|angr2_emot_irr|angr2_emot_hap|angr2_emot_ala|angr2_emot_fea|angr2_emot_sat,1,5,0,0,11.801,0,0,0,5.007,0,1,1,1,1,1,1,1,1,1,neut2_emot_sat|neut2_emot_irr|neut2_emot_agg|neut2_emot_fea|neut2_emot_hap|neut2_emot_ann|neut2_emot_ala|neut2_emot_sca|neut2_emot_enj,1,6,0,0,6.085,0,2,,18,4,3,4,3,4,4,5,2,2,5,4,4,5,5,3,3,3,3,4,2,2,3,2,2,2,2,3,2,3,4,5,4,password,TKA,105,10/29/2019,3,0,2,0,1,1,1,1,1,1,The participant said certain emotions may affect gsr readings. He said he believes Facial expression doesn't change emotions. Giving him hypothesis didn't affect him as he informed. ,neg,FL_22,Anger1|Neutral1|Happy1,Anger2|Happy2|Neutral2
