"","happ1_emot_hap","happ1_emot_sat","happ1_emot_enj","happ1_emot_ala","happ1_emot_sca","happ1_emot_fea","happ1_emot_irr","happ1_emot_agg","happ1_emot_ann","happ1_supp_dif","happ1_supp_con","happ2_emot_hap","happ2_emot_sat","happ2_emot_enj","happ2_emot_ala","happ2_emot_sca","happ2_emot_fea","happ2_emot_irr","happ2_emot_agg","happ2_emot_ann","happ2_supp_dif","happ2_supp_con","angr1_emot_hap","angr1_emot_sat","angr1_emot_enj","angr1_emot_ala","angr1_emot_sca","angr1_emot_fea","angr1_emot_irr","angr1_emot_agg","angr1_emot_ann","angr1_supp_dif","angr1_supp_con","angr2_emot_hap","angr2_emot_sat","angr2_emot_enj","angr2_emot_ala","angr2_emot_sca","angr2_emot_fea","angr2_emot_irr","angr2_emot_agg","angr2_emot_ann","angr2_supp_dif","angr2_supp_con","neut1_emot_hap","neut1_emot_sat","neut1_emot_enj","neut1_emot_ala","neut1_emot_sca","neut1_emot_fea","neut1_emot_irr","neut1_emot_agg","neut1_emot_ann","neut1_supp_dif","neut1_supp_con","neut2_emot_hap","neut2_emot_sat","neut2_emot_enj","neut2_emot_ala","neut2_emot_sca","neut2_emot_fea","neut2_emot_irr","neut2_emot_agg","neut2_emot_ann","neut2_supp_dif","neut2_supp_con","indiv_gend_var","indiv_agee_var","indiv_maia_001","indiv_maia_002","indiv_maia_003","indiv_maia_004","indiv_maia_005","indiv_maia_006","indiv_maia_007","indiv_maia_008","indiv_maia_009","indiv_maia_010","indiv_maia_011","indiv_maia_012","indiv_maia_013","indiv_maia_014","indiv_maia_015","indiv_maia_016","indiv_maia_017","indiv_maia_018","indiv_maia_019","indiv_maia_020","indiv_maia_021","indiv_maia_022","indiv_maia_023","indiv_maia_024","indiv_maia_025","indiv_maia_026","indiv_maia_027","indiv_maia_028","indiv_maia_029","indiv_maia_030","indiv_maia_031","indiv_maia_032","exper_init_var","exper_ssid_var","demand","feedb_awar_var","feedb_blef_var","video_awar_var","heard_awar_var","block1.order","block2.order","exper_note_var","happ1.happy","happ1.anger","angr1.happy","angr1.anger","neut1.happy","neut1.anger","happ2.happy","happ2.anger","angr2.happy","angr2.anger","neut2.happy","neut2.anger"
"1",0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,3,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,18,4,5,4,4,4,4,4,4,4,3,2,2,3,2,3,4,4,2,5,2,3,4,2,2,3,3,3,2,2,2,2,4,"GEO",101,"neg",2,0,0,0,"Neutral1|Anger1|Happy1","Anger2|Neutral2|Happy2","When she scowled she furrowed her brows and scrunched up her nose. When she smiled she showed no teeth. She didn't think there was an influence on emotion. She didn't feel any emotions. She remembered what our hypothesis was and agreed that there was no correlation between facial expression and emotion. ",0,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0
"2",3,2,3,0,0,0,0,0,0,1,6,3,1,2,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,2,0,1,1,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,7,1,18,4,5,5,4,3,4,4,4,4,2,4,5,2,4,5,5,5,5,5,4,3,5,3,4,3,5,3,4,5,5,5,5,"CBV",102,"neg",4,3,0,0,"Happy1|Neutral1|Anger1","Anger2|Happy2|Neutral2","Participant remembered that she was told that we didn't expect a reaction. She thought that smiling did make her happier. She was unaware of video recording.",2.66666666666667,0,0,0.333333333333333,0,0,2,0,0,1,0,0.333333333333333
"3",3,3,3,0,0,0,0,0,0,1,2,3,3,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,2,4,3,0,0,0,0,0,0,1,1,1,4,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,1,20,3,5,5,5,1,2,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4,4,4,"GEO",103,"pos",2,3,4,0,"Neutral1|Happy1|Anger1","Neutral2|Happy2|Anger2","She did the happy movements but didn't seem to do the scowl. She was wearing a hat. She thought it was easier to be happy and the GSR would show that. She thought the study was about mood and its effects on people. She thought she was in the control group because the things I read to her made sense. ",3,0,0,1.66666666666667,0,0,3,0,0,1,0,0
"4",1,1,2,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,1,0,1,1,4,2,19,3,5,2,1,2,2,5,1,3,4,2,1,1,1,2,5,5,5,3,4,4,5,1,1,1,1,1,5,2,5,5,5,"BAF",104,"pos",4,2,3,0,"Anger1|Neutral1|Happy1","Neutral2|Happy2|Anger2","guessed true hypothesis right away",1.33333333333333,0,0,0,0,0.666666666666667,0,0,0,0.666666666666667,0,0.666666666666667
"5",0,0,0,0,0,0,2,0,1,1,5,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,6,2,18,4,3,4,3,4,4,5,2,2,5,4,4,5,5,3,3,3,3,4,2,2,3,2,2,2,2,3,2,3,4,5,4,"TKA",105,"neg",3,0,2,0,"Anger1|Neutral1|Happy1","Anger2|Happy2|Neutral2","The participant said certain emotions may affect gsr readings. He said he believes Facial expression doesn't change emotions. Giving him hypothesis didn't affect him as he informed. ",0,1,0,0.666666666666667,0,0,0,0.666666666666667,0,0.666666666666667,0,0
"6",1,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,5,1,18,4,4,4,2,1,4,4,5,5,1,4,4,5,5,5,2,4,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,"TKA",106,"neg",0,1,0,0,"Neutral1|Anger1|Happy1","Happy2|Anger2|Neutral2","She said the hypothesis had effect ob her. She mostly believed her emotions were not connected to her facial expression.",1,0,0,0,0,0,0,0,0,0,0,0
"7",1,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,1,1,4,2,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,4,1,19,3,4,4,4,2,4,4,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,"CBV",107,"neu",1,NA,1,0,"Neutral1|Happy1|Anger1","Anger2|Neutral2|Happy2","Participant was very confused during the debriefing. When I said the term galvanic skin response, she acted like she had never heard of it before. I think she just didn't listen to me at all at the beginning of the study. She thought that she was in the positive control group, but she was in the no demand group. She thought that the facial expressions would affect emotion, especially the anger pose. She made some interesting faces during the study and touched her face several times. ",0.666666666666667,0,0,0.666666666666667,0.666666666666667,0,0,0.666666666666667,0,0.666666666666667,0,0
"8",1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,5,2,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,5,2,18,4,4,5,2,3,2,3,3,2,4,5,4,3,5,4,4,3,3,2,3,4,3,4,4,4,3,2,1,2,4,4,5,"TSS",108,"neg",4,0,1,0,"Neutral1|Happy1|Anger1","Neutral2|Happy2|Anger2","Participant bought into the negative demand hypo",0.666666666666667,0,0,0,0,0,0,0,1,0,0,0
"9",0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,4,1,18,2,5,3,5,2,4,4,4,4,4,3,5,3,4,3,2,5,3,4,4,5,5,4,5,5,4,4,2,5,5,5,5,"klp",109,"neg",4,0,1,0,"Anger1|Happy1|Neutral1","Anger2|Neutral2|Happy2","i did not orally communicate to her what condition she was in. although the condition is revealed within the beginning of the experiment in which she read and was attentive to. afterwards in the debriefing she recalled the condition she was in without me prompting her therefore i doubt my mistake had any impact on her not forming the belief that facial movements have no impact on emotion. ",0,0,0,0,0,0,0,0,0.666666666666667,0,0,0
"10",1,1,2,0,0,0,0,0,0,1,4,2,1,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,5,3,4,1,5,0,0,0,1,0,0,2,3,3,1,5,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,1,2,5,1,18,4,5,4,3,2,3,5,5,4,1,4,4,5,5,5,3,4,2,2,4,4,4,3,4,4,4,3,3,2,4,4,4,"MAM",110,"neu",0,NA,0,0,"Neutral1|Happy1|Anger1","Neutral2|Anger2|Happy2","Debriefing was pretty short - this participant was not the talkative type. ",1.33333333333333,0,0,4,0,0,1.66666666666667,0,0,2.66666666666667,0,1
"11",5,4,5,0,0,0,0,0,0,1,2,5,4,4,0,0,0,0,0,0,2,1,2,2,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,19,4,4,4,4,2,2,2,4,4,4,5,5,3,5,5,2,3,4,4,5,5,5,5,5,5,5,4,3,5,5,5,5,"MAM",111,"neu",0,0,0,0,"Anger1|Happy1|Neutral1","Anger2|Neutral2|Happy2","Performed well on the tasks where she had to move her face. The debriefing is a little bit messy, but all of the questions should have gotten answered. Was a very firm believer in the facial feedback hypothesis. ",4.66666666666667,0,2,0,2,0,4.33333333333333,0,0,0.666666666666667,0,0
"12",0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,2,2,4,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,18,4,5,5,5,3,3,4,3,3,2,4,3,2,3,3,3,2,2,2,1,3,4,3,3,2,2,3,2,2,2,3,3,"JOB",112,"neg",0,NA,0,0,"Happy1|Anger1|Neutral1","Anger2|Neutral2|Happy2","Participant was given prompt for negative feedback condition. Pt completed all tasks, and believed that just mimicking emotions does not really have any kind of effect on her in a lab setting. Pt seemed confused when asked the question of which group she was in, even after the clarification of the study. Pt appeared to not know condition she was given. Pt was chewing gum, so that may interfere with the program used for facial feedback testing. Pt was not aware of the recordings, and seemed surprised",0,0,0,1.33333333333333,0,0,0,0,0,0.666666666666667,0,0
"13",4,3,4,0,0,0,0,0,0,1,3,5,3,4,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,2,1,1,5,0,0,2,0,0,0,3,3,3,3,6,1,2,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,0,2,3,5,2,19,5,5,3,5,4,4,5,5,2,4,3,2,4,4,4,2,4,5,5,5,4,5,1,2,4,4,1,1,1,2,2,3,"JOB",113,"pos",3,4,0,0,"Anger1|Neutral1|Happy1","Anger2|Happy2|Neutral2","Pt completed all three trials, and laughed during the happy expression trials. In the debriefing, pt stated ""I like laughed, when I did the happy trial so I felt strongly after that."" Pt was insightful regarding emotional experience, and believed GSR readings would be impacted from the tension response of emotions. ""If I scowl and am angry, then I'd tense up and that would mess with the reading."" Pt did state that this was his first psych study, and experienced test anxiety of selecting the wrong answer. ""It asked me questions and I felt like I could be wrong, so I felt like I should have mixed it up""",3.66666666666667,0,0,2,1.66666666666667,0,4,0.333333333333333,0.666666666666667,3,0,1.33333333333333
"14",5,6,4,0,0,0,0,0,0,1,4,5,5,5,0,0,0,0,0,0,1,3,0,1,0,0,0,0,3,4,5,1,5,0,0,0,0,0,0,5,4,4,1,4,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,1,2,1,19,2,1,1,3,4,4,5,2,2,4,4,3,3,4,3,2,3,3,3,5,5,3,4,2,4,4,4,2,2,4,4,4,"rev",114,"pos",1,4,0,0,"Anger1|Happy1|Neutral1","Anger2|Happy2|Neutral2","belief that face ex. influence GSR
agreed with hypothesis",5,0,0.333333333333333,4,0.333333333333333,0.333333333333333,5,0,0,4.33333333333333,0,0.333333333333333
"15",4,3,4,0,1,1,1,2,1,2,5,4,4,4,1,0,0,0,1,1,4,6,1,1,1,3,1,1,3,3,4,4,5,1,1,1,2,1,1,4,2,3,5,6,2,2,2,0,0,0,1,1,1,2,5,0,0,1,0,0,0,1,2,1,3,6,2,19,4,3,4,2,3,4,4,4,4,2,4,3,2,2,4,3,3,4,2,3,5,3,2,3,4,4,3,2,3,4,4,4,"rev",115,"pos",1,3,0,0,"Happy1|Neutral1|Anger1","Anger2|Neutral2|Happy2","he laughed a lot through it all
responded complete
agrees with hypothesis
recognized his pos assignment in exp. 
""When I smile I feel happy""",3.66666666666667,1.33333333333333,1,3.33333333333333,2,1,4,0.666666666666667,1,3,0.333333333333333,1.33333333333333
"16",3,3,3,0,0,0,0,0,0,1,4,4,3,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,4,4,4,1,6,0,0,0,0,0,0,4,4,4,1,5,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,1,18,3,5,3,5,2,2,3,4,4,3,3,2,3,3,2,3,3,3,4,4,4,4,2,2,2,1,2,1,3,3,3,3,"GEO",116,"pos",3,3,2,0,"Anger1|Happy1|Neutral1","Anger2|Neutral2|Happy2","She was wearing glasses. She thought there was a relationship between facial expression sand emotions. She remembered the hypothesis. ",3,0,0,4,0.666666666666667,0,3.66666666666667,0,0,4,0.333333333333333,0
